series,treatment,day,filename
GSM1379331,CTL,1,GSM1379331_A_mix.txt
GSM1379332,Untreated,1,GSM1379332_B_mix.txt
GSM1379333,CTL,3,GSM1379333_C_mix.txt
GSM1379334,Untreated,3,GSM1379334_D_mix.txt
GSM1379335,aIFNg,3,GSM1379335_E_mix.txt
GSM1379336,IgG,3,GSM1379336_F_mix.txt
GSM1379337,CTL,5,GSM1379337_G_mix.txt
GSM1379338,Untreated,5,GSM1379338_H_mix.txt
GSM1379339,aIFNg,5,GSM1379339_I_mix.txt
GSM1379340,IgG,5,GSM1379340_J_mix.txt
GSM1379341,CTL,7,GSM1379341_K_mix.txt
GSM1379342,Untreated,7,GSM1379342_L_mix.txt
GSM1379343,aIFNg,7,GSM1379343_M_mix.txt
GSM1379344,IgG,7,GSM1379344_N_mix.txt
